date;region;value
2025-06-01;Орловская область;488
2025-06-01;Оренбургская область;1338
2025-06-01;Омская область;591
2025-06-01;Новосибирская область;8992
2025-06-01;Нижегородская область;4723
2025-06-01;Московская область;31311
2025-06-01;Москва;44176
2025-06-01;Липецкая область;1683
2025-06-01;Ленинградская область;14928
2025-06-01;Курская область;696
2025-06-01;Курганская область;1637
2025-06-01;Красноярский край;4879
2025-06-01;Краснодарский край;35641
2025-06-01;Костромская область;338
2025-06-01;Кировская область;1276
2025-06-01;Кемеровская область;1652
2025-06-01;Калужская область;872
2025-06-01;Калининградская область;7675
2025-06-01;Иркутская область;4304
2025-05-01;Ставропольский край;4554
2025-05-01;Смоленская область;1137
2025-05-01;Свердловская область;21296
2025-05-01;Сахалинская область;318
2025-05-01;Саратовская область;436
2025-05-01;Санкт-Петербург;22578
2025-05-01;Самарская область;3692
2025-05-01;Рязанская область;5012
2025-05-01;Ростовская область;16817
2025-05-01;Республика Татарстан;9934
2025-05-01;Республика Саха (Якутия);774
2025-05-01;Республика Мордовия;898
2025-05-01;Республика Марий Эл;785
2025-05-01;Республика Карелия;436
2025-05-01;Республика Бурятия;709
2025-05-01;Республика Башкортостан;10531
2025-05-01;Республика Адыгея;1758
2025-05-01;Псковская область;1021
2025-05-01;Приморский край;12654
2025-05-01;Пермский край;8842
2025-05-01;Пензенская область;8334
2025-05-01;Орловская область;608
2025-05-01;Оренбургская область;1296
2025-05-01;Омская область;1197
2025-05-01;Новосибирская область;10369
2025-05-01;Нижегородская область;4969
2025-05-01;Московская область;31504
2025-05-01;Москва;39793
2025-05-01;Липецкая область;1783
2025-05-01;Ленинградская область;19229
2025-05-01;Курская область;770
2025-05-01;Курганская область;2526
2025-05-01;Красноярский край;3695
2025-05-01;Краснодарский край;37432
2025-05-01;Костромская область;426
2025-05-01;Кировская область;1085
2025-05-01;Кемеровская область;1693
2025-05-01;Калужская область;929
2025-05-01;Калининградская область;4784
2025-05-01;Иркутская область;4214
2025-05-01;Ивановская область;614
2025-05-01;Забайкальский край;737
2025-05-01;Воронежская область;8653
2025-05-01;Вологодская область;1349
2025-05-01;Волгоградская область;3327
2025-05-01;Владимирская область;2000
2025-05-01;Брянская область;1410
2025-05-01;Белгородская область;311
2025-05-01;Астраханская область;4673
2025-05-01;Архангельская область;3610
2025-05-01;Амурская область;413
2025-05-01;Алтайский край;1274
2025-05-01;Россия;405781
2025-04-01;Ярославская область;3159
2025-04-01;Чувашская Республика;1111
2025-04-01;Челябинская область;7169
2025-04-01;Ханты-Мансийский автономный округ — Югра;4373
2025-04-01;Хабаровский край;5631
2025-04-01;Ульяновская область;1997
2025-04-01;Удмуртская Республика;5931
2025-04-01;Тюменская область;24596
2025-04-01;Тульская область;3589
2025-04-01;Томская область;1167
2025-04-01;Тверская область;1235
2025-04-01;Ставропольский край;3360
2025-04-01;Смоленская область;1511
2025-04-01;Свердловская область;20872
2025-04-01;Сахалинская область;308
2025-04-01;Саратовская область;509
2025-04-01;Санкт-Петербург;24131
2025-04-01;Самарская область;3564
2025-04-01;Рязанская область;5119
2025-04-01;Ростовская область;17969
2025-04-01;Республика Татарстан;9537
2025-04-01;Республика Саха (Якутия);791
2025-04-01;Республика Мордовия;1102
2025-04-01;Республика Марий Эл;1661
2025-04-01;Республика Карелия;283
2025-04-01;Республика Бурятия;610
2025-04-01;Республика Башкортостан;10039
2025-04-01;Республика Адыгея;1949
2025-04-01;Псковская область;1513
2025-04-01;Приморский край;13677
2025-04-01;Пермский край;9055
2025-04-01;Пензенская область;8070
2025-04-01;Орловская область;1090
2025-04-01;Оренбургская область;1668
2025-04-01;Омская область;1000
2025-04-01;Новосибирская область;12201
2025-04-01;Нижегородская область;4227
2025-04-01;Московская область;31151
2025-04-01;Москва;43288
2025-04-01;Липецкая область;1859
2025-04-01;Ленинградская область;20984
2025-04-01;Курская область;541
2025-04-01;Курганская область;2745
2025-04-01;Красноярский край;4458
2025-04-01;Краснодарский край;42488
2025-04-01;Костромская область;479
2025-04-01;Кировская область;1047
2025-04-01;Кемеровская область;1767
2025-04-01;Калужская область;1080
2025-04-01;Калининградская область;5400
2025-04-01;Иркутская область;4076
2025-04-01;Ивановская область;528
2025-04-01;Забайкальский край;756
2025-04-01;Воронежская область;11261
2025-04-01;Вологодская область;1523
2025-04-01;Волгоградская область;4085
2025-04-01;Владимирская область;1959
2025-04-01;Брянская область;945
2025-04-01;Белгородская область;335
2025-04-01;Астраханская область;5272
2025-04-01;Архангельская область;3459
2025-04-01;Амурская область;356
2025-04-01;Алтайский край;1457
2025-04-01;Россия;425249
2025-03-01;Ярославская область;2698
2025-03-01;Чувашская Республика;1166
2025-03-01;Челябинская область;8681
2025-03-01;Ханты-Мансийский автономный округ — Югра;3413
2025-03-01;Хабаровский край;5340
2025-03-01;Ульяновская область;3670
2025-03-01;Удмуртская Республика;6705
2025-03-01;Тюменская область;22947
2025-03-01;Тульская область;3066
2025-03-01;Томская область;1314
2025-03-01;Тверская область;1161
2025-03-01;Ставропольский край;3675
2025-03-01;Смоленская область;1208
2025-03-01;Свердловская область;19327
2025-03-01;Сахалинская область;334
2025-03-01;Саратовская область;452
2025-03-01;Санкт-Петербург;23649
2025-03-01;Самарская область;2590
2025-03-01;Рязанская область;4688
2025-03-01;Ростовская область;15080
2025-03-01;Республика Татарстан;9534
2025-03-01;Республика Саха (Якутия);862
2025-03-01;Республика Мордовия;1041
2025-03-01;Республика Марий Эл;1471
2025-03-01;Республика Карелия;472
2025-03-01;Республика Бурятия;719
2025-03-01;Республика Башкортостан;11751
2025-03-01;Республика Адыгея;2127
2025-03-01;Псковская область;1433
2025-03-01;Приморский край;14026
2025-03-01;Пермский край;7350
2025-03-01;Пензенская область;8047
2025-03-01;Орловская область;993
2025-03-01;Оренбургская область;2035
2025-03-01;Омская область;984
2025-03-01;Новосибирская область;14031
2025-03-01;Нижегородская область;4574
2025-03-01;Московская область;35096
2025-03-01;Москва;45486
2025-03-01;Липецкая область;1950
2025-03-01;Ленинградская область;22105
2025-03-01;Курская область;399
2025-03-01;Курганская область;2747
2025-03-01;Красноярский край;4513
2025-03-01;Краснодарский край;43226
2025-03-01;Костромская область;579
2025-03-01;Кировская область;1000
2025-03-01;Кемеровская область;1697
2025-03-01;Калужская область;1121
2025-03-01;Калининградская область;5752
2025-03-01;Иркутская область;3425
2025-03-01;Ивановская область;756
2025-03-01;Забайкальский край;750
2025-03-01;Воронежская область;10216
2025-03-01;Вологодская область;1539
2025-03-01;Волгоградская область;4624
2025-03-01;Владимирская область;1846
2025-03-01;Брянская область;1004
2025-03-01;Белгородская область;129
2025-03-01;Астраханская область;5155
2025-03-01;Архангельская область;2256
2025-03-01;Амурская область;836
2025-03-01;Алтайский край;933
2025-03-01;Россия;421847
2025-02-01;Ярославская область;2458
2025-02-01;Чувашская Республика;995
2025-02-01;Челябинская область;9087
2025-02-01;Ханты-Мансийский автономный округ — Югра;4029
2025-02-01;Хабаровский край;5084
2025-02-01;Ульяновская область;3477
2025-02-01;Удмуртская Республика;6611
2025-02-01;Тюменская область;23325
2025-02-01;Тульская область;2769
2025-02-01;Томская область;1437
2025-02-01;Тверская область;1210
2025-02-01;Ставропольский край;3740
2025-02-01;Смоленская область;1253
2025-02-01;Свердловская область;19667
2025-02-01;Сахалинская область;301
2025-02-01;Саратовская область;341
2025-02-01;Санкт-Петербург;23725
2025-02-01;Самарская область;3448
2025-02-01;Рязанская область;4794
2025-02-01;Ростовская область;16595
2025-02-01;Республика Татарстан;8077
2025-09-01;Ярославская область;2414
2025-09-01;Чувашская Республика;1406
2025-09-01;Челябинская область;6775
2025-09-01;Ханты-Мансийский автономный округ — Югра;3180
2025-09-01;Хабаровский край;5730
2025-09-01;Ульяновская область;2040
2025-09-01;Удмуртская Республика;4853
2025-09-01;Тюменская область;22431
2025-09-01;Тульская область;3351
2025-09-01;Томская область;1248
2025-09-01;Тверская область;1081
2025-09-01;Ставропольский край;7646
2025-09-01;Смоленская область;2437
2025-09-01;Свердловская область;22095
2025-09-01;Сахалинская область;1227
2025-09-01;Саратовская область;1330
2025-09-01;Санкт-Петербург;24159
2025-09-01;Самарская область;5229
2025-09-01;Рязанская область;7105
2025-09-01;Ростовская область;19891
2025-09-01;Республика Татарстан;12783
2025-09-01;Республика Саха (Якутия);969
2025-09-01;Республика Мордовия;787
2025-09-01;Республика Марий Эл;1156
2025-09-01;Республика Карелия;393
2025-09-01;Республика Бурятия;1641
2025-09-01;Республика Башкортостан;15614
2025-09-01;Республика Адыгея;1451
2025-09-01;Псковская область;1184
2025-09-01;Приморский край;11527
2025-09-01;Пермский край;8406
2025-09-01;Пензенская область;9763
2025-09-01;Орловская область;709
2025-09-01;Оренбургская область;1460
2025-09-01;Омская область;1258
2025-09-01;Новосибирская область;10559
2025-09-01;Нижегородская область;5081
2025-09-01;Московская область;29591
2025-09-01;Москва;40324
2025-02-01;Республика Саха (Якутия);735
2025-02-01;Республика Мордовия;908
2025-01-01;Хабаровский край;4885
2025-01-01;Ульяновская область;3605
2025-01-01;Удмуртская Республика;7059
2025-01-01;Тюменская область;19586
2025-01-01;Тульская область;3444
2025-01-01;Томская область;1738
2025-01-01;Тверская область;1121
2025-01-01;Ставропольский край;4044
2025-01-01;Смоленская область;982
2025-01-01;Свердловская область;17653
2025-01-01;Сахалинская область;294
2025-01-01;Саратовская область;999
2025-01-01;Санкт-Петербург;22643
2025-01-01;Самарская область;4186
2025-01-01;Рязанская область;4532
2025-01-01;Ростовская область;13549
2025-01-01;Республика Татарстан;7355
2025-01-01;Республика Саха (Якутия);893
2025-01-01;Республика Мордовия;1073
2025-01-01;Республика Марий Эл;1705
2025-01-01;Республика Карелия;401
2025-01-01;Республика Бурятия;1389
2025-01-01;Республика Башкортостан;9195
2025-01-01;Республика Адыгея;1384
2025-01-01;Псковская область;1422
2025-01-01;Приморский край;13724
2025-01-01;Пермский край;8193
2025-01-01;Пензенская область;9494
2025-01-01;Орловская область;1026
2025-01-01;Оренбургская область;1337
2025-01-01;Омская область;658
2025-01-01;Новосибирская область;13693
2025-01-01;Нижегородская область;4517
2025-01-01;Московская область;30072
2025-01-01;Москва;48008
2025-01-01;Липецкая область;3178
2025-01-01;Ленинградская область;18593
2025-01-01;Курская область;871
2025-01-01;Курганская область;2461
2025-01-01;Красноярский край;3427
2025-01-01;Краснодарский край;44863
2025-01-01;Костромская область;690
2025-01-01;Кировская область;676
2025-01-01;Кемеровская область;2010
2025-01-01;Калужская область;1188
2025-01-01;Калининградская область;4973
2025-01-01;Иркутская область;4511
2025-01-01;Ивановская область;856
2025-01-01;Забайкальский край;567
2025-01-01;Воронежская область;7901
2025-01-01;Вологодская область;1341
2025-01-01;Волгоградская область;3956
2025-01-01;Владимирская область;2559
2025-01-01;Брянская область;1002
2025-01-01;Белгородская область;75
2025-01-01;Астраханская область;5207
2025-01-01;Архангельская область;2509
2025-01-01;Амурская область;471
2025-01-01;Алтайский край;1691
2025-01-01;Россия;398567
2024-12-01;Ярославская область;2109
2024-12-01;Чувашская Республика;1562
2024-12-01;Челябинская область;10582
2024-12-01;Ханты-Мансийский автономный округ — Югра;3736
2024-12-01;Хабаровский край;4863
2024-12-01;Ульяновская область;2332
2024-12-01;Удмуртская Республика;7270
2024-12-01;Тюменская область;21130
2024-12-01;Тульская область;4054
2024-12-01;Томская область;1763
2024-12-01;Тверская область;1234
2024-12-01;Ставропольский край;4365
2024-12-01;Смоленская область;1085
2024-12-01;Свердловская область;19066
2024-12-01;Сахалинская область;232
2024-12-01;Саратовская область;2366
2024-12-01;Санкт-Петербург;23173
2024-12-01;Самарская область;6056
2024-12-01;Рязанская область;5027
2024-12-01;Ростовская область;14023
2024-12-01;Республика Татарстан;10163
2024-12-01;Республика Саха (Якутия);1164
2024-12-01;Республика Мордовия;1534
2024-12-01;Республика Марий Эл;1431
2024-12-01;Республика Карелия;490
2024-12-01;Республика Бурятия;1248
2024-12-01;Республика Башкортостан;12353
2024-12-01;Республика Адыгея;1639
2024-12-01;Псковская область;1465
2024-12-01;Приморский край;13049
2024-12-01;Пермский край;8533
2024-12-01;Пензенская область;8943
2024-12-01;Орловская область;1016
2024-12-01;Оренбургская область;1539
2024-12-01;Омская область;592
2024-12-01;Новосибирская область;12798
2024-12-01;Новгородская область;14
2024-12-01;Нижегородская область;5044
2024-12-01;Московская область;32550
2024-12-01;Москва;48871
2024-12-01;Липецкая область;3217
2024-12-01;Ленинградская область;17994
2024-12-01;Курская область;1403
2024-12-01;Курганская область;2596
2024-12-01;Красноярский край;4525
2024-12-01;Краснодарский край;52274
2024-12-01;Костромская область;410
2024-12-01;Кировская область;1267
2024-12-01;Кемеровская область;1765
2024-12-01;Калужская область;1193
2024-12-01;Калининградская область;6135
2024-12-01;Иркутская область;4157
2024-12-01;Ивановская область;639
2024-12-01;Забайкальский край;739
2024-12-01;Воронежская область;11124
2024-12-01;Вологодская область;1281
2024-12-01;Волгоградская область;3437
2024-12-01;Владимирская область;2960
2024-12-01;Брянская область;889
2024-12-01;Белгородская область;185
2024-12-01;Астраханская область;5533
2024-12-01;Архангельская область;2631
2024-12-01;Амурская область;426
2024-12-01;Алтайский край;2079
2024-12-01;Россия;430934
2024-11-01;Ярославская область;2592
2024-11-01;Чувашская Республика;1396
2024-11-01;Челябинская область;11126
2024-11-01;Ханты-Мансийский автономный округ — Югра;3282
2024-11-01;Хабаровский край;4431
2024-11-01;Ульяновская область;2641
2024-11-01;Удмуртская Республика;6520
2024-11-01;Тюменская область;19762
2024-11-01;Тульская область;4157
2024-11-01;Томская область;2559
2024-11-01;Тверская область;1250
2024-11-01;Ставропольский край;4201
2024-11-01;Смоленская область;912
2024-11-01;Свердловская область;18230
2024-11-01;Сахалинская область;179
2024-11-01;Саратовская область;2716
2024-11-01;Санкт-Петербург;24216
2024-11-01;Самарская область;5100
2024-11-01;Рязанская область;5106
2024-11-01;Ростовская область;11147
2024-11-01;Республика Татарстан;10026
2024-11-01;Республика Саха (Якутия);1317
2024-11-01;Республика Мордовия;1238
2024-11-01;Республика Марий Эл;1323
2024-11-01;Республика Карелия;475
2024-11-01;Республика Бурятия;918
2024-11-01;Республика Башкортостан;11126
2024-11-01;Республика Адыгея;1622
2024-11-01;Псковская область;1428
2024-11-01;Приморский край;13367
2024-11-01;Пермский край;7587
2024-11-01;Пензенская область;9240
2024-11-01;Орловская область;1074
2024-11-01;Оренбургская область;1824
2024-11-01;Омская область;753
2024-11-01;Новосибирская область;11397
2024-11-01;Новгородская область;25
2024-11-01;Нижегородская область;4627
2024-11-01;Московская область;31248
2024-11-01;Москва;52799
2024-11-01;Липецкая область;2829
2024-11-01;Ленинградская область;17793
2024-11-01;Курская область;1058
2024-11-01;Курганская область;1687
2024-11-01;Красноярский край;4722
2024-11-01;Краснодарский край;50884
2024-11-01;Костромская область;496
2024-11-01;Кировская область;1434
2024-11-01;Кемеровская область;2533
2024-11-01;Калужская область;1391
2024-11-01;Калининградская область;4709
2024-11-01;Иркутская область;4360
2024-11-01;Ивановская область;797
2024-11-01;Забайкальский край;659
2024-11-01;Воронежская область;9489
2024-11-01;Вологодская область;1360
2024-11-01;Волгоградская область;3787
2024-11-01;Владимирская область;2579
2024-11-01;Брянская область;951
2024-11-01;Белгородская область;218
2024-11-01;Астраханская область;5469
2024-11-01;Архангельская область;2284
2024-11-01;Амурская область;1110
2024-11-01;Алтайский край;2005
2024-11-01;Россия;421037
2024-10-01;Ярославская область;3147
2024-10-01;Чувашская Республика;981
2024-10-01;Челябинская область;7651
2024-10-01;Ханты-Мансийский автономный округ — Югра;3158
2024-10-01;Хабаровский край;3221
2024-10-01;Ульяновская область;2384
2024-10-01;Удмуртская Республика;6046
2024-10-01;Тюменская область;19748
2024-10-01;Тульская область;3578
2024-10-01;Томская область;2206
2024-10-01;Тверская область;1127
2024-10-01;Ставропольский край;4668
2025-06-01;Ивановская область;961
2025-06-01;Забайкальский край;756
2025-06-01;Воронежская область;8207
2025-06-01;Вологодская область;1421
2025-06-01;Волгоградская область;2783
2025-06-01;Владимирская область;1798
2025-06-01;Брянская область;896
2025-06-01;Белгородская область;354
2025-06-01;Астраханская область;4427
2025-06-01;Архангельская область;3274
2025-06-01;Амурская область;569
2025-06-01;Алтайский край;1249
2025-06-01;Россия;400275
2025-05-01;Ярославская область;2128
2025-05-01;Чувашская Республика;1134
2025-05-01;Челябинская область;6800
2025-05-01;Ханты-Мансийский автономный округ — Югра;3273
2025-05-01;Хабаровский край;5311
2025-05-01;Ульяновская область;2331
2025-05-01;Удмуртская Республика;6494
2025-05-01;Тюменская область;22038
2025-05-01;Тульская область;3178
2025-05-01;Томская область;912
2025-05-01;Тверская область;1365
2024-10-01;Смоленская область;1358
2024-10-01;Свердловская область;15495
2024-10-01;Иркутская область;4018
2024-10-01;Ивановская область;812
2024-10-01;Забайкальский край;550
2024-10-01;Воронежская область;8499
2024-10-01;Вологодская область;1214
2024-10-01;Волгоградская область;4482
2024-10-01;Владимирская область;2432
2024-10-01;Брянская область;772
2024-10-01;Белгородская область;249
2024-10-01;Астраханская область;5575
2024-10-01;Архангельская область;2650
2024-10-01;Амурская область;1126
2024-10-01;Алтайский край;1885
2024-10-01;Россия;399061
2024-09-01;Ярославская область;3753
2024-09-01;Чувашская Республика;605
2024-09-01;Челябинская область;4355
2024-09-01;Ханты-Мансийский автономный округ — Югра;2947
2024-09-01;Хабаровский край;3356
2024-09-01;Ульяновская область;3189
2024-09-01;Удмуртская Республика;5963
2024-09-01;Тюменская область;19610
2024-09-01;Тульская область;3943
2024-09-01;Томская область;1537
2024-09-01;Тверская область;924
2024-09-01;Ставропольский край;4942
2024-09-01;Смоленская область;1443
2024-09-01;Свердловская область;15867
2024-09-01;Сахалинская область;323
2024-09-01;Саратовская область;1995
2024-09-01;Санкт-Петербург;25248
2024-09-01;Самарская область;5136
2024-09-01;Рязанская область;3653
2024-09-01;Ростовская область;13242
2024-09-01;Республика Татарстан;7467
2024-09-01;Республика Саха (Якутия);1057
2024-09-01;Республика Мордовия;897
2024-09-01;Республика Марий Эл;1492
2024-09-01;Республика Карелия;107
2024-09-01;Республика Бурятия;735
2024-09-01;Республика Башкортостан;10381
2024-09-01;Республика Адыгея;1768
2024-09-01;Псковская область;525
2024-09-01;Приморский край;12607
2024-09-01;Пермский край;5512
2024-09-01;Пензенская область;5514
2024-09-01;Орловская область;1274
2024-09-01;Оренбургская область;1631
2024-09-01;Омская область;990
2024-09-01;Новосибирская область;9447
2024-09-01;Новгородская область;90
2024-09-01;Нижегородская область;3760
2024-09-01;Московская область;26799
2024-09-01;Москва;54058
2024-09-01;Липецкая область;2298
2024-09-01;Ленинградская область;19430
2024-09-01;Курская область;751
2024-09-01;Курганская область;1564
2024-09-01;Красноярский край;5090
2024-09-01;Краснодарский край;55025
2024-09-01;Костромская область;902
2024-09-01;Кировская область;1388
2024-09-01;Кемеровская область;2157
2024-09-01;Калужская область;1321
2024-09-01;Калининградская область;4074
2024-09-01;Иркутская область;4104
2024-09-01;Ивановская область;649
2024-09-01;Забайкальский край;198
2024-09-01;Воронежская область;7110
2024-09-01;Вологодская область;904
2024-09-01;Волгоградская область;5111
2024-09-01;Владимирская область;2397
2024-09-01;Брянская область;640
2024-09-01;Белгородская область;85
2024-09-01;Астраханская область;4931
2024-09-01;Архангельская область;2474
2024-09-01;Амурская область;1099
2024-09-01;Алтайский край;1863
2024-09-01;Россия;394897
2022-10-01;Курская область;719
2022-10-01;Пензенская область;4512
2024-04-01;Республика Марий Эл;1136
2022-10-01;Красноярский край;3133
2024-04-01;Красноярский край;4488
2024-02-01;Республика Мордовия;877
2023-08-01;Оренбургская область;1357
2023-09-01;Курская область;412
2022-09-01;Воронежская область;3757
2022-08-01;Курганская область;427
2024-06-01;Хабаровский край;3274
2022-05-01;Архангельская область;1842
2023-10-01;Чувашская Республика;879
2022-12-01;Ставропольский край;1553
2023-12-01;Тюменская область;15951
2022-11-01;Республика Марий Эл;1116
2023-03-01;Тюменская область;13895
2023-08-01;Смоленская область;1477
2023-07-01;Ивановская область;466
2022-09-01;Республика Адыгея;449
2022-04-01;Республика Адыгея;816
2022-01-01;Республика Саха (Якутия);482
2022-08-01;Архангельская область;1556
2023-05-01;Ростовская область;9621
2023-10-01;Тверская область;1163
2023-09-01;Республика Марий Эл;484
2022-02-01;Республика Татарстан;9036
2022-05-01;Калининградская область;3976
2023-08-01;Псковская область;928
2022-04-01;Волгоградская область;2564
2022-05-01;Курская область;1396
2024-08-01;Вологодская область;1165
2023-12-01;Воронежская область;6410
2023-03-01;Владимирская область;1388
2024-04-01;Пермский край;6787
2024-01-01;Челябинская область;8433
2023-01-01;Республика Мордовия;822
2023-08-01;Кемеровская область;1368
2022-12-01;Республика Бурятия;709
2022-06-01;Смоленская область;1357
2022-09-01;Тюменская область;7777
2024-05-01;Брянская область;1060
2022-12-01;Республика Саха (Якутия);952
2022-11-01;Нижегородская область;2989
2023-02-01;Тюменская область;10182
2024-01-01;Омская область;942
2023-10-01;Ханты-Мансийский автономный округ — Югра;2773
2022-07-01;Республика Марий Эл;1197
2023-05-01;Удмуртская Республика;7187
2022-04-01;Москва;38410
2023-11-01;Санкт-Петербург;30013
2022-07-01;Ленинградская область;12864
2022-09-01;Республика Карелия;339
2023-05-01;Республика Башкортостан;5895
2024-04-01;Волгоградская область;3934
2022-08-01;Владимирская область;1380
2022-07-01;Красноярский край;3164
