"date";"category";"value"
"2025-08-01";"Республика Калмыкия";59.8
"2025-08-01";"Республика Карелия";75.3
"2025-08-01";"Республика Коми";75.6
"2025-08-01";"Республика Крым";63.9
"2025-08-01";"Республика Марий Эл";66.8
"2025-08-01";"Республика Мордовия";63.2
"2025-08-01";"Республика Саха (Якутия)";78.9
"2025-08-01";"Республика Северная Осетия — Алания";48.6
"2025-08-01";"Республика Татарстан";68.1
"2025-08-01";"Республика Тыва";68.2
"2025-08-01";"Республика Хакасия";65.9
"2025-08-01";"Россия";68.8
"2025-08-01";"Ростовская область";63.2
"2025-08-01";"Рязанская область";65.1
"2025-08-01";"Самарская область";67.5
"2025-08-01";"Санкт-Петербург";75.6
"2025-08-01";"Саратовская область";64.2
"2025-08-01";"Сахалинская область";73.2
"2025-08-01";"Свердловская область";71.8
"2025-08-01";"Севастополь";68.9
"2025-08-01";"Смоленская область";63.2
"2025-08-01";"Ставропольский край";59.8
"2025-08-01";"Тамбовская область";62.3
"2025-08-01";"Тверская область";68.6
"2025-08-01";"Томская область";72
"2025-08-01";"Тульская область";65.6
"2025-08-01";"Тюменская область";73.3
"2025-08-01";"Удмуртская Республика";68
"2025-08-01";"Ульяновская область";64.2
"2025-08-01";"Хабаровский край";71.4
"2025-08-01";"Ханты-Мансийский автономный округ — Югра";72.9
"2025-08-01";"Челябинская область";67.1
"2025-08-01";"Чеченская Республика";27.4
"2025-08-01";"Чувашская Республика";65.6
"2025-08-01";"Чукотский автономный округ";78.6
"2025-08-01";"Ямало-Ненецкий автономный округ";75.6
"2025-08-01";"Ярославская область";69.9
"2025-07-01";"Алтайский край";66.2
"2025-07-01";"Амурская область";70.2
"2025-07-01";"Архангельская область";74.1
"2025-07-01";"Астраханская область";58.9
"2025-07-01";"Белгородская область";65.5
"2025-07-01";"Брянская область";60.8
"2025-07-01";"Владимирская область";66.7
"2025-07-01";"Волгоградская область";64.4
"2025-07-01";"Вологодская область";70.4
"2025-07-01";"Воронежская область";67.8
"2025-07-01";"Еврейская автономная область";68.6
"2025-07-01";"Забайкальский край";70.2
"2025-07-01";"Ивановская область";64
"2025-07-01";"Иркутская область";69.8
"2025-07-01";"Кабардино-Балкарская Республика";45.6
"2025-07-01";"Калининградская область";71.4
"2025-07-01";"Калужская область";66.7
"2025-07-01";"Камчатский край";73.7
"2025-07-01";"Карачаево-Черкесская Республика";49
"2025-07-01";"Кемеровская область";70.4
"2025-07-01";"Кировская область";70.6
"2025-07-01";"Костромская область";67.5
"2025-07-01";"Краснодарский край";66.2
"2025-07-01";"Красноярский край";68.5
"2025-07-01";"Курганская область";68.5
"2025-07-01";"Курская область";64.3
"2025-07-01";"Ленинградская область";74.3
"2025-07-01";"Липецкая область";64.5
"2025-07-01";"Магаданская область";74.7
"2025-07-01";"Москва";74.5
"2025-07-01";"Московская область";72.3
"2025-07-01";"Мурманская область";75.8
"2025-07-01";"Ненецкий автономный округ";80.2
"2025-07-01";"Нижегородская область";67.8
"2025-07-01";"Новгородская область";70.4
"2025-07-01";"Новосибирская область";68.3
"2025-07-01";"Омская область";68.4
"2025-07-01";"Оренбургская область";65.4
"2025-07-01";"Орловская область";64.5
"2025-07-01";"Пензенская область";62.6
"2025-07-01";"Пермский край";70.8
"2025-07-01";"Приморский край";66
"2025-07-01";"Псковская область";67.4
"2025-07-01";"Республика Адыгея";61.9
"2025-07-01";"Республика Алтай";68.6
"2025-07-01";"Республика Башкортостан";69.4
"2025-07-01";"Республика Бурятия";70.9
"2025-07-01";"Республика Дагестан";31.1
"2025-07-01";"Республика Ингушетия";24
"2025-07-01";"Республика Калмыкия";60.2
"2025-07-01";"Республика Карелия";75.4
"2025-07-01";"Республика Коми";75.7
"2025-07-01";"Республика Крым";63.8
"2025-07-01";"Республика Марий Эл";67.4
"2025-07-01";"Республика Мордовия";64.2
"2025-07-01";"Республика Саха (Якутия)";78.3
"2025-07-01";"Республика Северная Осетия — Алания";48.3
"2025-07-01";"Республика Татарстан";66.9
"2025-07-01";"Республика Тыва";67.5
"2025-07-01";"Республика Хакасия";66.1
"2025-07-01";"Россия";68.8
"2025-07-01";"Ростовская область";62.9
"2025-07-01";"Рязанская область";64.9
"2025-07-01";"Самарская область";68.3
"2025-07-01";"Санкт-Петербург";75.3
"2025-07-01";"Саратовская область";64.4
"2025-07-01";"Сахалинская область";72.8
"2025-07-01";"Свердловская область";71.2
"2025-07-01";"Севастополь";69.5
"2025-07-01";"Смоленская область";60.8
"2025-07-01";"Ставропольский край";59.1
"2025-07-01";"Тамбовская область";62.4
"2025-07-01";"Тверская область";68.3
"2025-07-01";"Томская область";72.6
"2025-07-01";"Тульская область";64.6
"2025-07-01";"Тюменская область";73
"2025-07-01";"Удмуртская Республика";67.7
"2025-07-01";"Ульяновская область";62.8
"2025-07-01";"Хабаровский край";70.4
"2025-07-01";"Ханты-Мансийский автономный округ — Югра";72.5
"2025-07-01";"Челябинская область";67.3
"2025-07-01";"Чеченская Республика";26.5
"2025-07-01";"Чувашская Республика";64.3
"2025-07-01";"Чукотский автономный округ";78.8
"2025-07-01";"Ямало-Ненецкий автономный округ";75.5
"2025-07-01";"Ярославская область";70.1
"2025-06-01";"Алтайский край";66.5
"2025-06-01";"Амурская область";69.9
"2025-06-01";"Архангельская область";74.5
"2025-06-01";"Астраханская область";58.6
"2025-06-01";"Белгородская область";64.9
"2025-06-01";"Брянская область";59.7
"2025-06-01";"Владимирская область";66.1
"2025-06-01";"Волгоградская область";64.3
"2025-06-01";"Вологодская область";71.1
"2025-06-01";"Воронежская область";67.2
"2025-06-01";"Еврейская автономная область";70.3
"2025-06-01";"Забайкальский край";69.6
"2025-06-01";"Ивановская область";63.8
"2025-06-01";"Иркутская область";69.6
"2025-06-01";"Кабардино-Балкарская Республика";44.3
"2025-06-01";"Калининградская область";71.5
"2025-06-01";"Калужская область";66.3
"2025-06-01";"Камчатский край";74.5
"2025-06-01";"Карачаево-Черкесская Республика";48.4
"2025-06-01";"Кемеровская область";70.6
"2025-06-01";"Кировская область";70.5
"2025-06-01";"Костромская область";69.2
"2025-06-01";"Краснодарский край";65.4
"2025-06-01";"Красноярский край";69.8
"2025-06-01";"Курганская область";68.1
