date;region;value
2025-06-01;Тульская область;2156
2025-06-01;Томская область;1974
2025-06-01;Тверская область;1733
2025-06-01;Тамбовская область;1513
2025-06-01;Ставропольский край;4547
2025-06-01;Смоленская область;1066
2025-06-01;Севастополь;2119
2025-06-01;Свердловская область;11806
2025-06-01;Сахалинская область;2066
2025-06-01;Саратовская область;3938
2025-06-01;Санкт-Петербург;16099
2025-06-01;Самарская область;4987
2025-06-01;Рязанская область;1976
2025-06-01;Ростовская область;9707
2025-06-01;Республика Хакасия;2212
2025-06-01;Республика Тыва;655
2025-06-01;Республика Татарстан;7341
2025-06-01;Республика Северная Осетия — Алания;570
2025-06-01;Республика Саха (Якутия);2689
2025-06-01;Республика Мордовия;1249
2025-06-01;Республика Марий Эл;1091
2025-06-01;Республика Крым;6284
2025-06-01;Республика Коми;1736
2025-06-01;Республика Карелия;980
2025-06-01;Республика Калмыкия;208
2025-06-01;Республика Дагестан;1080
2025-06-01;Республика Бурятия;2109
2025-06-01;Республика Башкортостан;10465
2025-06-01;Республика Алтай;318
2025-06-01;Республика Адыгея;864
2025-06-01;Псковская область;976
2025-06-01;Приморский край;2847
2025-06-01;Пермский край;4414
2025-06-01;Пензенская область;2610
2025-06-01;Орловская область;1113
2025-06-01;Оренбургская область;3745
2025-06-01;Омская область;4807
2025-06-01;Новосибирская область;8082
2025-06-01;Новгородская область;775
2025-06-01;Нижегородская область;5227
2025-06-01;Мурманская область;1115
2025-06-01;Московская область;19437
2025-06-01;Москва;19183
2025-06-01;Магаданская область;402
2025-06-01;Липецкая область;1693
2025-06-01;Ленинградская область;6701
2025-06-01;Курская область;1778
2025-06-01;Курганская область;1315
2025-06-01;Красноярский край;7719
2025-06-01;Краснодарский край;20328
2025-06-01;Костромская область;1244
2025-06-01;Кировская область;1620
2025-06-01;Кемеровская область;8312
2025-06-01;Карачаево-Черкесская Республика;384
2025-06-01;Камчатский край;825
2025-06-01;Калужская область;3531
2025-06-01;Калининградская область;4324
2025-06-01;Кабардино-Балкарская Республика;202
2025-06-01;Иркутская область;4483
2025-06-01;Ивановская область;1723
2025-06-01;Забайкальский край;2133
2025-06-01;Еврейская автономная область;160
2025-06-01;Воронежская область;4414
2025-06-01;Вологодская область;1941
2025-06-01;Волгоградская область;4211
2025-06-01;Владимирская область;4634
2025-06-01;Брянская область;1520
2025-06-01;Белгородская область;3957
2025-06-01;Астраханская область;1898
2025-06-01;Архангельская область;2099
2025-06-01;Амурская область;2713
2025-06-01;Алтайский край;2331
2025-06-01;Россия;327816
2025-05-01;Ярославская область;2963
2025-05-01;Ямало-Ненецкий автономный округ;1654
2025-05-01;Чукотский автономный округ;128
2025-05-01;Чувашская Республика;1718
2025-05-01;Чеченская Республика;134
2025-05-01;Челябинская область;5728
2025-05-01;Ханты-Мансийский автономный округ — Югра;6073
2025-05-01;Хабаровский край;3765
2025-05-01;Ульяновская область;2471
2025-05-01;Удмуртская Республика;1798
2025-05-01;Тюменская область;18541
2025-05-01;Тульская область;1936
2025-05-01;Томская область;1863
2025-05-01;Тверская область;1747
2025-05-01;Тамбовская область;1420
2025-05-01;Ставропольский край;4115
2025-05-01;Смоленская область;1351
2025-05-01;Севастополь;2243
2025-05-01;Свердловская область;12502
2025-05-01;Сахалинская область;2175
2025-05-01;Саратовская область;4226
2025-05-01;Санкт-Петербург;15794
2025-05-01;Самарская область;3887
2025-05-01;Рязанская область;2081
2025-05-01;Ростовская область;8734
2025-05-01;Республика Хакасия;2288
2025-05-01;Республика Тыва;695
2025-05-01;Республика Татарстан;6323
2025-05-01;Республика Северная Осетия — Алания;171
2025-05-01;Республика Саха (Якутия);2258
2025-05-01;Республика Мордовия;886
2025-05-01;Республика Марий Эл;1163
2025-05-01;Республика Крым;7172
2025-05-01;Республика Коми;1632
2025-05-01;Республика Карелия;780
2025-05-01;Республика Калмыкия;246
2025-05-01;Республика Дагестан;1031
2025-05-01;Республика Бурятия;1844
2025-05-01;Республика Башкортостан;9339
2025-05-01;Республика Алтай;437
2025-05-01;Республика Адыгея;1007
2025-05-01;Псковская область;696
2025-05-01;Приморский край;2789
2025-05-01;Пермский край;4513
2025-05-01;Пензенская область;2311
2025-05-01;Орловская область;1003
2025-05-01;Оренбургская область;3587
2025-05-01;Омская область;4949
2025-05-01;Новосибирская область;7799
2025-05-01;Новгородская область;775
2025-05-01;Нижегородская область;4248
2025-05-01;Мурманская область;1222
2025-05-01;Московская область;18030
2025-05-01;Москва;17044
2025-05-01;Магаданская область;427
2025-05-01;Липецкая область;1708
2025-05-01;Ленинградская область;6707
2025-05-01;Калининградская область;4124
2025-05-01;Кабардино-Балкарская Республика;209
2025-05-01;Иркутская область;3271
2025-05-01;Ивановская область;1180
2025-05-01;Забайкальский край;1968
2025-05-01;Еврейская автономная область;146
2025-05-01;Воронежская область;4590
2025-05-01;Вологодская область;1950
2025-05-01;Волгоградская область;4118
2025-05-01;Владимирская область;4908
2025-05-01;Брянская область;1478
2025-05-01;Белгородская область;3457
2025-05-01;Астраханская область;1676
2025-05-01;Архангельская область;1921
2025-05-01;Амурская область;2643
2025-05-01;Алтайский край;2087
2025-05-01;Россия;310512
2025-04-01;Ярославская область;2990
2025-04-01;Ямало-Ненецкий автономный округ;1690
2025-04-01;Чукотский автономный округ;134
2025-04-01;Чувашская Республика;1952
2025-04-01;Чеченская Республика;157
2025-04-01;Челябинская область;5748
2025-04-01;Ханты-Мансийский автономный округ — Югра;6657
2025-04-01;Хабаровский край;3678
2025-04-01;Ульяновская область;2178
2025-04-01;Удмуртская Республика;2074
2025-04-01;Тюменская область;18844
2025-04-01;Тульская область;2076
2025-04-01;Томская область;1938
2025-04-01;Тверская область;2207
2025-04-01;Тамбовская область;1442
2025-04-01;Ставропольский край;3760
2025-04-01;Смоленская область;1381
2025-04-01;Севастополь;2085
2025-04-01;Свердловская область;11636
2025-04-01;Сахалинская область;1701
2025-04-01;Саратовская область;3202
2025-04-01;Санкт-Петербург;15979
2025-04-01;Самарская область;4307
2025-04-01;Рязанская область;2118
2025-04-01;Ростовская область;8969
2025-04-01;Республика Хакасия;1605
2025-04-01;Республика Тыва;712
2025-04-01;Республика Татарстан;6191
2025-04-01;Республика Северная Осетия — Алания;342
2025-04-01;Республика Саха (Якутия);2077
2025-04-01;Республика Мордовия;829
2025-04-01;Республика Марий Эл;1192
2025-04-01;Республика Крым;7146
2025-04-01;Республика Коми;1710
2025-04-01;Республика Карелия;854
2025-04-01;Республика Калмыкия;308
2025-04-01;Республика Дагестан;1463
2025-04-01;Республика Бурятия;1421
2025-04-01;Республика Башкортостан;9078
2025-04-01;Республика Алтай;444
2025-04-01;Республика Адыгея;1034
2025-04-01;Псковская область;674
2025-04-01;Приморский край;3516
2025-04-01;Пермский край;4568
2025-04-01;Пензенская область;2249
2025-04-01;Орловская область;1170
2025-04-01;Оренбургская область;3297
2025-04-01;Омская область;4450
2025-04-01;Новосибирская область;8698
2025-04-01;Новгородская область;848
2025-04-01;Нижегородская область;4071
2025-04-01;Мурманская область;1354
2025-04-01;Московская область;18233
2025-04-01;Москва;15443
2025-04-01;Магаданская область;399
2025-04-01;Липецкая область;1890
2025-04-01;Ленинградская область;7345
2025-04-01;Курская область;1713
2025-04-01;Курганская область;1111
2025-04-01;Красноярский край;6136
2025-04-01;Краснодарский край;24321
2025-04-01;Костромская область;1387
2025-04-01;Кировская область;1521
2025-04-01;Кемеровская область;7784
2025-04-01;Карачаево-Черкесская Республика;207
2025-04-01;Камчатский край;864
2025-04-01;Калужская область;3615
2025-04-01;Калининградская область;4515
2025-04-01;Кабардино-Балкарская Республика;191
2025-04-01;Иркутская область;3358
2025-04-01;Ивановская область;1519
2025-04-01;Забайкальский край;1542
2025-04-01;Еврейская автономная область;134
2025-04-01;Воронежская область;3899
2025-04-01;Вологодская область;2097
2025-04-01;Волгоградская область;4379
2025-04-01;Владимирская область;5258
2025-04-01;Брянская область;1481
2025-04-01;Белгородская область;3627
2025-04-01;Астраханская область;1841
2025-04-01;Архангельская область;1982
2025-04-01;Амурская область;3111
2025-04-01;Алтайский край;2260
2025-04-01;Россия;313367
2025-03-01;Ярославская область;2720
2025-03-01;Ямало-Ненецкий автономный округ;1581
2025-03-01;Чукотский автономный округ;127
2025-03-01;Чувашская Республика;1866
2025-03-01;Чеченская Республика;195
2025-03-01;Челябинская область;6305
2025-03-01;Ханты-Мансийский автономный округ — Югра;5811
2025-03-01;Хабаровский край;3224
2025-03-01;Ульяновская область;2345
2025-03-01;Удмуртская Республика;1849
2025-03-01;Тюменская область;12214
2025-03-01;Тульская область;2752
2025-03-01;Томская область;2081
2025-03-01;Тверская область;2728
2025-03-01;Тамбовская область;1355
2025-03-01;Ставропольский край;3656
2025-03-01;Смоленская область;1525
2025-03-01;Севастополь;2521
2025-03-01;Свердловская область;11244
2025-03-01;Сахалинская область;1584
2025-03-01;Саратовская область;3045
2025-03-01;Санкт-Петербург;14811
2025-03-01;Самарская область;4323
2025-03-01;Рязанская область;2102
2025-03-01;Ростовская область;7647
2025-03-01;Республика Хакасия;1680
2025-03-01;Республика Тыва;519
2025-03-01;Республика Татарстан;5523
2025-03-01;Республика Северная Осетия — Алания;300
2025-03-01;Республика Саха (Якутия);1549
2025-03-01;Республика Мордовия;848
2025-03-01;Республика Марий Эл;1244
2025-03-01;Республика Крым;7058
2025-03-01;Республика Коми;1646
2025-03-01;Республика Карелия;745
