"date";"category";"value"
"2025-08-31";"Республика Мордовия";84519
"2025-08-31";"Республика Саха (Якутия)";133207
"2025-08-31";"Республика Северная Осетия — Алания";86929
"2025-08-31";"Республика Татарстан";118379
"2025-08-31";"Республика Тыва";102660
"2025-08-31";"Республика Хакасия";83886
"2025-08-31";"Россия";116840
"2025-08-31";"Ростовская область";94251
"2025-08-31";"Рязанская область";78769
"2025-08-31";"Самарская область";92891
"2025-08-31";"Санкт-Петербург";215827
"2025-08-31";"Саратовская область";79213
"2025-08-31";"Сахалинская область";135217
"2025-08-31";"Свердловская область";93377
"2025-08-31";"Севастополь";161802
"2025-08-31";"Смоленская область";70392
"2025-08-31";"Ставропольский край";93148
"2025-08-31";"Тамбовская область";77995
"2025-08-31";"Тверская область";81889
"2025-08-31";"Томская область";103923
"2025-08-31";"Тульская область";83564
"2025-08-31";"Тюменская область";107507
"2025-08-31";"Удмуртская Республика";86113
"2025-08-31";"Ульяновская область";81453
"2025-08-31";"Хабаровский край";92517
"2025-08-31";"Ханты-Мансийский автономный округ — Югра";91286
"2025-08-31";"Челябинская область";78718
"2025-08-31";"Чеченская Республика";40086
"2025-08-31";"Чувашская Республика";94704
"2025-08-31";"Чукотский автономный округ";139917
"2025-08-31";"Ямало-Ненецкий автономный округ";132141
"2025-08-31";"Ярославская область";79462
"2025-07-31";"Алтайский край";91625
"2025-07-31";"Амурская область";131806
"2025-07-31";"Архангельская область";102589
"2025-07-31";"Астраханская область";78154
"2025-07-31";"Белгородская область";85554
"2025-07-31";"Брянская область";70329
"2025-07-31";"Владимирская область";73090
"2025-07-31";"Волгоградская область";82128
"2025-07-31";"Вологодская область";82065
"2025-07-31";"Воронежская область";93992
"2025-07-31";"Еврейская автономная область";86015
"2025-07-31";"Забайкальский край";109484
"2025-07-31";"Ивановская область";74649
"2025-07-31";"Иркутская область";93603
"2025-07-31";"Кабардино-Балкарская Республика";71283
"2025-07-31";"Калининградская область";108014
"2025-07-31";"Калужская область";91561
"2025-07-31";"Камчатский край";127827
"2025-07-31";"Карачаево-Черкесская Республика";82363
"2025-07-31";"Кемеровская область";80619
"2025-07-31";"Кировская область";88168
"2025-07-31";"Костромская область";73950
"2025-07-31";"Краснодарский край";145580
"2025-07-31";"Красноярский край";97707
"2025-07-31";"Курганская область";76576
"2025-07-31";"Курская область";102594
"2025-07-31";"Ленинградская область";131259
"2025-07-31";"Липецкая область";77303
"2025-07-31";"Магаданская область";133415
"2025-07-31";"Москва";313011
"2025-07-31";"Московская область";149517
"2025-07-31";"Мурманская область";79663
"2025-07-31";"Ненецкий автономный округ";106077
"2025-07-31";"Нижегородская область";107420
"2025-07-31";"Новгородская область";82222
"2025-07-31";"Новосибирская область";112862
"2025-07-31";"Омская область";102122
"2025-07-31";"Оренбургская область";68987
"2025-07-31";"Орловская область";74514
"2025-07-31";"Пензенская область";81569
"2025-07-31";"Пермский край";82615
"2025-07-31";"Приморский край";129483
