"date";"category";"value"
"2025-08-31";"Сахалинская область";202210
"2025-08-31";"Свердловская область";150406
"2025-08-31";"Севастополь";189350
"2025-08-31";"Смоленская область";101101
"2025-08-31";"Ставропольский край";110302
"2025-08-31";"Тамбовская область";102535
"2025-08-31";"Тверская область";122219
"2025-08-31";"Томская область";161284
"2025-08-31";"Тульская область";132965
"2025-08-31";"Тюменская область";143338
"2025-08-31";"Удмуртская Республика";121204
"2025-08-31";"Ульяновская область";113031
"2025-08-31";"Хабаровский край";161165
"2025-08-31";"Ханты-Мансийский автономный округ — Югра";152473
"2025-08-31";"Челябинская область";121627
"2025-08-31";"Чувашская Республика";109905
"2025-08-31";"Ямало-Ненецкий автономный округ";180702
"2025-08-31";"Ярославская область";109289
"2025-07-31";"Алтайский край";120676
"2025-07-31";"Амурская область";195598
"2025-07-31";"Архангельская область";125216
"2025-07-31";"Астраханская область";161333
"2025-07-31";"Белгородская область";120284
"2025-07-31";"Брянская область";101013
"2025-07-31";"Владимирская область";108733
"2025-07-31";"Волгоградская область";120573
"2025-07-31";"Вологодская область";111118
"2025-07-31";"Воронежская область";122822
"2025-07-31";"Забайкальский край";173245
"2025-07-31";"Ивановская область";103279
"2025-07-31";"Иркутская область";158671
"2025-07-31";"Кабардино-Балкарская Республика";93952
"2025-07-31";"Калининградская область";137387
"2025-07-31";"Калужская область";113329
"2025-07-31";"Камчатский край";184542
"2025-07-31";"Карачаево-Черкесская Республика";100555
"2025-07-31";"Кемеровская область";129135
"2025-07-31";"Кировская область";130992
"2025-07-31";"Костромская область";97327
"2025-07-31";"Краснодарский край";169239
"2025-07-31";"Красноярский край";133837
"2025-07-31";"Курганская область";102198
"2025-07-31";"Курская область";119469
"2025-07-31";"Ленинградская область";174641
"2025-07-31";"Липецкая область";100500
"2025-07-31";"Москва";362036
"2025-07-31";"Московская область";190292
"2025-07-31";"Нижегородская область";169173
"2025-07-31";"Новгородская область";98350
"2025-07-31";"Новосибирская область";144484
"2025-07-31";"Омская область";153801
"2025-07-31";"Оренбургская область";95494
"2025-07-31";"Орловская область";92908
"2025-07-31";"Пензенская область";100618
"2025-07-31";"Пермский край";150992
"2025-07-31";"Приморский край";172121
"2025-07-31";"Псковская область";82296
"2025-07-31";"Республика Адыгея";139990
"2025-07-31";"Республика Алтай";249389
"2025-07-31";"Республика Башкортостан";144603
"2025-07-31";"Республика Бурятия";147809
"2025-07-31";"Республика Дагестан";154313
"2025-07-31";"Республика Калмыкия";87840
"2025-07-31";"Республика Карелия";127889
"2025-07-31";"Республика Коми";118086
"2025-07-31";"Республика Крым";199901
"2025-07-31";"Республика Марий Эл";108102
"2025-07-31";"Республика Мордовия";118369
"2025-07-31";"Республика Саха (Якутия)";178103
"2025-07-31";"Республика Северная Осетия — Алания";118859
"2025-07-31";"Республика Татарстан";191852
"2025-07-31";"Республика Тыва";151183
"2025-07-31";"Республика Хакасия";137973
"2025-07-31";"Россия";175541
"2025-07-31";"Ростовская область";142353
"2025-07-31";"Рязанская область";121327
"2025-07-31";"Самарская область";128399
"2025-07-31";"Санкт-Петербург";256795
"2025-07-31";"Саратовская область";101746
"2025-07-31";"Сахалинская область";202741
"2025-07-31";"Свердловская область";150055
"2025-07-31";"Севастополь";183122
"2025-07-31";"Смоленская область";97684
"2025-07-31";"Ставропольский край";109947
"2025-07-31";"Тамбовская область";102107
"2025-07-31";"Тверская область";121083
"2025-07-31";"Томская область";157638
"2025-07-31";"Тульская область";132236
"2025-07-31";"Тюменская область";142827
"2025-07-31";"Удмуртская Республика";119370
"2025-07-31";"Ульяновская область";113080
"2025-07-31";"Хабаровский край";160775
"2025-07-31";"Ханты-Мансийский автономный округ — Югра";151449
"2025-07-31";"Челябинская область";120737
"2025-07-31";"Чувашская Республика";110494
"2025-07-31";"Ямало-Ненецкий автономный округ";180673
"2025-07-31";"Ярославская область";109549
"2025-06-30";"Алтайский край";122172
"2025-06-30";"Амурская область";195635
"2025-06-30";"Архангельская область";124321
"2025-06-30";"Астраханская область";159748
"2025-06-30";"Белгородская область";119050
"2025-06-30";"Брянская область";101288
"2025-06-30";"Владимирская область";108415
"2025-06-30";"Волгоградская область";120019
"2025-06-30";"Вологодская область";109130
"2025-06-30";"Воронежская область";123441
"2025-06-30";"Забайкальский край";172585
"2025-06-30";"Ивановская область";102709
"2025-06-30";"Иркутская область";157368
"2025-06-30";"Кабардино-Балкарская Республика";93120
"2025-06-30";"Калининградская область";134168
"2025-06-30";"Калужская область";113819
"2025-06-30";"Камчатский край";183370
"2025-06-30";"Карачаево-Черкесская Республика";99921
"2025-06-30";"Кемеровская область";127785
"2025-06-30";"Кировская область";129099
"2025-06-30";"Костромская область";96803
"2025-06-30";"Краснодарский край";167846
"2025-06-30";"Красноярский край";132688
"2025-06-30";"Курганская область";100489
"2025-06-30";"Курская область";119247
"2025-06-30";"Ленинградская область";172547
"2025-06-30";"Липецкая область";100418
"2025-06-30";"Москва";359385
"2025-06-30";"Московская область";190641
"2025-06-30";"Нижегородская область";169546
"2025-06-30";"Новгородская область";96845
"2025-06-30";"Новосибирская область";143192
"2025-06-30";"Омская область";154857
"2025-06-30";"Оренбургская область";94111
"2025-06-30";"Орловская область";90114
"2025-06-30";"Пензенская область";101425
"2025-06-30";"Пермский край";150823
"2025-06-30";"Приморский край";171116
"2025-06-30";"Псковская область";82873
"2025-06-30";"Республика Адыгея";134326
"2025-06-30";"Республика Алтай";243250
"2025-06-30";"Республика Башкортостан";143984
"2025-06-30";"Республика Бурятия";144231
"2025-06-30";"Республика Дагестан";155412
"2025-06-30";"Республика Калмыкия";84491
"2025-06-30";"Республика Карелия";127729
"2025-06-30";"Республика Коми";114501
"2025-06-30";"Республика Крым";198630
"2025-06-30";"Республика Марий Эл";107763
"2025-06-30";"Республика Мордовия";119090
"2025-06-30";"Республика Саха (Якутия)";178523
"2025-06-30";"Республика Северная Осетия — Алания";117541
"2025-06-30";"Республика Татарстан";189878
"2025-06-30";"Республика Тыва";154142
"2025-06-30";"Республика Хакасия";137410
"2025-06-30";"Россия";174868
"2025-06-30";"Ростовская область";141402
"2025-06-30";"Рязанская область";121634
"2025-06-30";"Самарская область";129604
"2025-06-30";"Санкт-Петербург";258935
"2025-06-30";"Саратовская область";101651
"2025-06-30";"Сахалинская область";203991
"2025-06-30";"Свердловская область";149882
"2025-06-30";"Севастополь";175442
"2025-06-30";"Смоленская область";95730
"2025-06-30";"Ставропольский край";109919
"2025-06-30";"Тамбовская область";100975
"2025-06-30";"Тверская область";119050
"2025-06-30";"Томская область";155440
"2025-06-30";"Тульская область";132805
"2025-06-30";"Тюменская область";142389
"2025-06-30";"Удмуртская Республика";118298
"2025-06-30";"Ульяновская область";113286
"2025-06-30";"Хабаровский край";160413
"2025-06-30";"Ханты-Мансийский автономный округ — Югра";144110
"2025-06-30";"Челябинская область";121154
"2025-06-30";"Чувашская Республика";110588
"2025-06-30";"Ямало-Ненецкий автономный округ";180643
"2025-06-30";"Ярославская область";110365
"2025-05-31";"Алтайский край";124069
"2025-05-31";"Амурская область";193059
"2025-05-31";"Архангельская область";124803
"2025-05-31";"Астраханская область";158383
"2025-05-31";"Белгородская область";118705
"2025-05-31";"Брянская область";102770
"2025-05-31";"Владимирская область";109838
"2025-05-31";"Волгоградская область";118234
"2025-05-31";"Вологодская область";107325
"2025-05-31";"Воронежская область";123820
"2025-05-31";"Забайкальский край";172102
"2025-05-31";"Ивановская область";100442
"2025-05-31";"Иркутская область";155204
"2025-05-31";"Кабардино-Балкарская Республика";90355
"2025-05-31";"Калининградская область";133198
"2025-05-31";"Калужская область";114219
"2025-05-31";"Камчатский край";181826
"2025-05-31";"Карачаево-Черкесская Республика";99415
"2025-05-31";"Кемеровская область";126648
"2025-05-31";"Кировская область";127185
"2025-05-31";"Костромская область";97858
"2025-05-31";"Краснодарский край";167736
"2025-05-31";"Красноярский край";131489
"2025-05-31";"Курганская область";98622
"2025-05-31";"Курская область";116673
"2025-05-31";"Ленинградская область";171660
"2025-05-31";"Липецкая область";100285
"2025-05-31";"Москва";352604
"2025-05-31";"Московская область";190355
"2025-05-31";"Нижегородская область";166044
"2025-05-31";"Новгородская область";97202
"2025-05-31";"Новосибирская область";142026
"2025-05-31";"Омская область";156819
"2025-05-31";"Оренбургская область";92358
"2025-05-31";"Орловская область";88330
"2025-05-31";"Пензенская область";101585
"2025-05-31";"Пермский край";149066
"2025-05-31";"Приморский край";170334
"2025-05-31";"Псковская область";82939
"2025-05-31";"Республика Адыгея";129205
"2025-05-31";"Республика Алтай";242225
"2025-05-31";"Республика Башкортостан";144026
"2025-05-31";"Республика Бурятия";143710
"2025-05-31";"Республика Дагестан";156539
"2025-05-31";"Республика Калмыкия";81318
"2025-05-31";"Республика Карелия";129373
"2025-05-31";"Республика Коми";116027
"2025-05-31";"Республика Крым";196865
"2025-05-31";"Республика Марий Эл";107676
"2025-05-31";"Республика Мордовия";118315
"2025-05-31";"Республика Саха (Якутия)";176986
"2025-05-31";"Республика Северная Осетия — Алания";115879
"2025-05-31";"Республика Татарстан";186994
"2025-05-31";"Республика Тыва";156694
"2025-05-31";"Республика Хакасия";134417
"2025-05-31";"Россия";173329
"2025-05-31";"Ростовская область";139713
"2025-05-31";"Рязанская область";120990
"2025-05-31";"Самарская область";128714
"2025-05-31";"Санкт-Петербург";255095
